query,answer,content
"Câu hỏi: Theo điều 22, trong bao nhiêu ngày phải công khai kết quả sử dụng và báo cáo quyết toán?","Câu trả lời: Phải công khai trong thời hạn ba mươi ngày, kể từ ngày báo cáo quyết toán được phê duyệt.","Node ID: node_9417
Text: 5. Thời điểm công khai được quy định như sau:   a) Mục đích vận
động, quyên góp phải được công khai trước khi tiến hành vận động,
quyên góp;   b) Kết quả vận động, quyên góp phải được công khai trong
thời hạn ba mươi ngày, kể từ ngày  kết thúc việc vận động, quyên góp;
c) Việc sử dụng, kết quả sử dụng tiền, hiện vật và báo cáo quyết toán
phải ...
Score:  0.578
"
Câu hỏi:,- Bạn biết được khổ đường sắt là gì không?,"Node ID: node_12463
Text: 7. Công trình công nghiệp đường sắt  là công trình được xây dựng
để phục vụ cho các hoạt động  sản xuất, lắp ráp, sửa chữa, hoán cải
phương tiện giao thông đường sắt; sản xuất phụ kiện, phụ  tùng, vật
tư, thiết bị chuyên dùng cho đường sắt.   8. Đề-pô là nơi tập kết tàu
để bảo dưỡng, sửa chữa, thực hiện các tác nghiệp kỹ thuật khác.   9.
Đường n...
Score:  0.628
"
"Câu hỏi: Theo quy định, ai có thẩm quyền quyết định di chuyển một trạm khí tượng thủy văn chuyên dùng?","Câu trả lời: Người có thẩm quyền quyết định di chuyển một trạm khí tượng thủy văn chuyên dùng là người thành lập trạm đó. Sau khi di chuyển, họ cũng phải thông báo cho Bộ Tài nguyên và Môi trường và cơ quan quản lý nhà nước về khí tượng thủy văn cấp tỉnh tại nơi đặt trạm.","Node ID: node_9876
Text: Vị trí mới của trạm phải đáp ứng yêu cầu quan trắc và phù hợp
với quy định của pháp luật có  liên quan;   b) Phải tổ chức quan trắc
song song giữa tr ạm cũ và trạm mới để bảo đảm tính liên tục của chuỗi
số liệu và không gián đoạn việc cung cấp thông tin, dữ liệu cho công
tác dự báo, cảnh báo khí  tượng thủy văn, trao đổi quốc tế;   c) Bộ
trưởng...
Score:  0.539
"
"Câu hỏi: Theo luật, ai được công nhận có quyền yêu cầu giám định tư pháp?","Câu trả lời: Luật cho phép đối tượng bao gồm đương sự trong vụ việc dân sự, vụ án hành chính, nguyên đơn dân sự, bị đơn dân sự, người có quyền lợi, nghĩa vụ liên quan trong vụ án hình sự hoặc người đại diện hợp pháp của họ yêu cầu giám định tư pháp, trừ trường hợp liên quan đến việc xác định trách nhiệm hình sự của bị can, bị cáo.","Node ID: node_9287
Text: Người có quyền tự mình yêu cầu giám định bao gồm đương sự trong
vụ việc dân sự, vụ án hành  chính, nguyên đơn dân sự, bị đơn dân sự,
người có quyền lợi, nghĩa vụ liên quan trong vụ án  hình sự hoặc người
đại diện hợp pháp của họ, trừ trường hợp việc y êu cầu giám định liên
quan  đến việc xác định trách nhiệm hình sự của bị can, bị cáo.   4.
Cá n...
Score:  0.548
"
Câu hỏi: Bộ Lao động - Thương binh và Xã hội cấp lại Giấy phép cho doanh nghiệp dịch vụ miễn phí trong vòng bao nhiêu ngày?,Câu trả lời: Doanh nghiệp dịch vụ được miễn phí khi cấp lại Giấy phép trong thời hạn 5 ngày làm việc.,"Node ID: node_5243
Text: 2. Trong thời hạn 05 ngày làm việc kể từ ngày nhận được văn bản
đề nghị của doanh nghiệp dịch  vụ, Bộ trưởng Bộ Lao động - Thương binh
và Xã hội cấp lại Giấy phép.   3. Doanh nghiệp dịch vụ được miễn phí
khi cấp lại Giấy phép.   Điều 15. Công bố, niêm yết Giấy phép   1.
Trong thời hạn 10 ngày kể từ ngày Giấy phép được cấp, cấp lại hoặc
điều chỉn...
Score:  0.597
"
Câu hỏi: Làm thế nào để đăng ký doanh nghiệp công ty cổ phần?,"Câu trả lời: Bạn có thể đăng ký doanh nghiệp công ty cổ phần trực tiếp tại Cơ quan đăng ký kinh doanh, qua dịch vụ bưu chính hoặc qua mạng thông tin điện tử. Bạn cần có thông tin về các cổ đông sáng lập và cổ đông là nhà đầu tư nước ngoài, chẳng hạn như họ tên, quốc tịch, địa chỉ liên lạc, số lượng cổ phần và giá trị của từng loại tài sản góp vốn.","Node ID: node_3349
Text: Điều 25. Danh sách thành viên công ty trách nhiệm hữu hạn, công
ty hợp danh, danh sách  cổ đông sáng lập và cổ  đông là nhà đầu tư
nước ngoài đối với công ty cổ phần   Danh sách thành viên công ty
trách nhiệm hữu hạn, công ty hợp danh, danh sách cổ đông sáng  lập và
cổ đông là nhà đầu tư nước ngoài đối với công ty cổ phần phải bao gồm
các nội du...
Score:  0.603
"
Câu hỏi: Làm thế nào để đảm bảo quyền biết về nguồn gốc?,"Câu trả lời: Đảm bảo quyền biết về nguồn gốc có thể đạt được thông qua việc cung cấp thông tin chi tiết về xuất xứ, chất lượng và nguồn cung cấp của một sản phẩm hoặc dịch vụ. Điều này giúp người tiêu dùng có thể quyết định hợp lý hơn và an toàn hơn khi mua sắm.","Node ID: node_10244
Text: Điều 11. Bảo đảm quyền được biết về nguồ n gốc
Score:  0.598
"
Câu hỏi: Thế nào là nhiệm vụ chuẩn bị đầu tư trong quy định về đầu tư công?,"Câu trả lời: Nhiệm vụ chuẩn bị đầu tư bao gồm các hoạt động lập, thẩm định, quyết định chủ trương và đầu tư dự án.","Node ID: node_13157
Text: 12. Cơ quan quản lý nhà nước  về đầu tư công  bao gồm Chính phủ,
Bộ Kế hoạch v à Đầu tư, Ủy  ban nhân dân các cấp.   13. Dự án đầu tư
công  là dự án sử dụng toàn bộ hoặc một phần vốn đầu tư công.   14. Dự
án đầu tư công khẩn cấp  là dự án đầu tư công nhằm kịp thời phòng,
chống, khắc phục  hậu quả thiên tai, thảm họa, dịch bệnh; nhiệm vụ cấp
bách...
Score:  0.611
"
"Câu hỏi: Theo pháp luật đầu tư của nước này, nhà đầu tư nước ngoài có quyền mua cổ phần trong công ty cổ phần không?","Câu trả lời: Có, theo Điều 24 và Điều 25.1.a, nhà đầu tư nước ngoài có quyền mua cổ phần của công ty cổ phần trong và ngoài phạm vi phát hành lần đầu.","Node ID: node_13056
Text: 4. Chính phủ quy định chi tiết về trình tự, thủ tục đầu tư thành
lập tổ chức kinh tế và về thực hiện  hoạt động đầu tư của nhà đầu tư
nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài.   Điều 24. Đầu
tư theo hình thức góp vốn, mua cổ phần, mua phần vốn góp   1. Nhà đầu
tư có quyền góp vốn, mua cổ phần, mua phần vốn góp của tổ chức kinh
tế.   ...
Score:  0.585
"
Tàu đóng vào hoặc sau ngày 01/07/2004 cần phải trang bị.,"2. Các tàu khách, kể cả các tàu khách cao tốc, đóng trước 01/07/2004 cũng cần phải trang bị khi kiểm tra trang bị vô tuyến điện đầu tiên sau ngày 01/07/2004.","Node ID: node_168
Text: 1. Tất cả các tàu phải trang bị hệ thống báo động an ninh tàu,
như sau:   .1. các tàu đóng vào hoặc sau ngày 01 tháng 07 năm 2004;
.2. các tàu  khách, kể cả các tàu khách cao tốc, đóng trước 1 tháng 7
năm 2004, không muộn hơn  đợt kiểm tra trang bị vô tuyến điện đầu tiên
sau ngày 1 tháng 7 năm 2004;   .3. các tàu dầu, tàu chở hóa chất, tàu
chở...
Score:  0.616
"
"Các tàu dầu, tàu chở hóa chất, tàu chở khí, tàu chở hàng rời và tàu hàng cao tốc với dung tích từ 500 trở lên, đóng trước 01/07/2004 cũng cần phải trang bị khi kiểm tra trang bị vô tuyến điện đầu tiên sau ngày 01/07/2004.",4. Các tàu hàng khác với dung tích từ 500 trở lên và các giàn khoan di động ngoài khơi đóng trước 01/07/2004 cũng cần phải trang bị khi kiểm tra trang bị vô tuyến điện đầu tiên sau ngày 01/07/2006.,"Node ID: node_168
Text: 1. Tất cả các tàu phải trang bị hệ thống báo động an ninh tàu,
như sau:   .1. các tàu đóng vào hoặc sau ngày 01 tháng 07 năm 2004;
.2. các tàu  khách, kể cả các tàu khách cao tốc, đóng trước 1 tháng 7
năm 2004, không muộn hơn  đợt kiểm tra trang bị vô tuyến điện đầu tiên
sau ngày 1 tháng 7 năm 2004;   .3. các tàu dầu, tàu chở hóa chất, tàu
chở...
Score:  0.616
"
"Câu hỏi: Theo Điều 5, chiến lược phát triển trồng trọt được xây dựng theo phạm vi thời gian là bao nhiêu?","Câu trả lời: Chiến lược phát triển trồng trọt được xây dựng cho chu kỳ 10 năm, định hướng 20 năm.","Node ID: node_7939
Text: Điều 5 . Chiến lược phát triển trồng trọt   1. Chiến lược phát
triển trồng trọt được xây dựng cho chu kỳ 10 năm, định hướng 20 năm;
phù  hợp với chiến lược phát triển kinh tế - xã hội, quy hoạch, kế
hoạch có liên quan.   2. Chiến lược phát triển trồng trọt xác định qu
an điểm, nguyên tắc chỉ đạo, tầm nhìn, mục tiêu,  nhiệm vụ, giải pháp
và tổ ch...
Score:  0.564
"
"Câu hỏi: ""Thi hành án phạt cải tạo không giam giữ"" là gì?","Câu trả lời: Đó là việc giám sát, giáo dục người chấp hành án tại nơi cư trú hoặc nơi làm việc, học tập, với khấu trừ một phần thu nhập và giám sát việc thực hiện một số công việc lao động phục vụ cộng đồng.","Node ID: node_6914
Text: 4. Thi hành án phạt tù  là việc cơ quan, người có thẩm quyền
theo quy định của Luật này buộc  người bị kết án phạt tù có thời hạn,
tù chung thân phải chịu sự quản lý giam giữ, giáo dục cải tạo.   5.
Thi h ành án tử hình  là việc cơ quan, người có thẩm quyền theo quy
định của Luật này tước bỏ  tính mạng của người bị kết án tử hình.   6.
Thi hành ...
Score:  0.592
"
"Câu hỏi: Theo Điều 71, nghĩa vụ của Chủ tịch Hội đồng quản trị bao gồm việc giám sát, tổ chức giám sát việc thực hiện nghị quyết, quyết định của Hội đồng quản trị. Đúng không?",Câu trả lời: Đúng.,"Node ID: node_2789
Text: 15. Quyết định chào bán cổ phần mới trong phạm vi số cổ phần
được quyền chào bán.   16. Quyết định giá chào bán cổ phần và trái
phiếu chuyển đổi của tổ chức tín dụng.   17. Quyết định mua lại cổ
phần của tổ chức tín dụng theo phương án được duyệt.   18. Kiến nghị
phương án phân phối lợi nhuận, mức cổ tức được trả; quyết định thời
hạn và thủ  tục...
Score:  0.576
"
"Câu hỏi: Theo Luật, Chủ tịch công ty có quyền nào trong việc quyết định vấn đề quan trọng?","Câu trả lời: Theo Điều 97, Chủ tịch công ty có quyền quyết định vấn đề quan trọng, trừ trường hợp phải được cơ quan đại diện chủ sở hữu chấp thuận. Trước khi quyết định, Chủ tịch có thể tổ chức lấy ý kiến chuyên gia tư vấn trong nước và nước ngoài.","Node ID: node_3421
Text: miễn nhiệm, cách chức Chủ tịch công ty được thực hiện theo quy
định tại Điều 93 và Điều 94  của Luật này.   2. Chủ tịch công ty t hực
hiện quyền, nghĩa vụ của người đại diện chủ sở hữu trực tiếp tại công
ty  theo quy định của Luật Quản lý, sử dụng vốn nhà nước đầu tư vào
sản xuất, kinh doanh tại doanh  nghiệp; quyền, nghĩa vụ và trách nhiệm
khác...
Score:  0.568
"
Câu hỏi: Từ ngày nào luật này bắt đầu có hiệu lực thi hành?,Câu trả lời: Luật này có hiệu lực thi hành từ 01/01/2020.,"Node ID: node_5980
Text: Điền 36. Hiệu lực thi hành   1. Luật này có hiệu lực thi hành từ
ngày 01 tháng 01 năm 2020.
Score:  0.619
"
"Câu hỏi: Theo Điều 9, cá nhân hữu quan có trách nhiệm tham gia hoạt động giám sát khi có yêu cầu của chủ thể giám sát. Nhưng trong trường hợp cá nhân hữu quan không đồng ý tham gia, thì sao?","Câu trả lời: Trong trường hợp cá nhân hữu quan không đồng ý tham gia hoạt động giám sát, chủ thể giám sát có thể tiếp tục theo điều 3, báo cáo với người đứng đầu cơ quan, tổ chức có thẩm quyền để đề nghị xem xét kết luận, yêu cầu, kiến nghị đó.","Node ID: node_9436
Text: 3. Đề nghị chủ thể giám sát xem xét lại kết luận, yêu cầu, kiến
nghị giám sát liên quan đến h oạt  động của cơ quan, tổ chức, đơn vị
mình; trường hợp không tán thành với kết luận, yêu cầu, kiến  nghị
giám sát thì tự mình hoặc báo cáo với người đứng đầu cơ quan, tổ chức
có thẩm quyền để  đề nghị Quốc hội, Ủy ban thường vụ Quốc hội, Hội
đồng nhân ...
Score:  0.626
"
"Câu hỏi: Theo pháp luật, người tiêu dùng có nghĩa vụ gì khi phát hiện hoạt động đo lường xâm phạm quyền lợi của họ?",Câu trả lời: Người tiêu dùng có nghĩa vụ thông báo cho cơ quan nhà nước có thẩm quyền khi phát hiện hoạt động đo lường xâm phạm quyền lợi của mình.,"Node ID: node_13533
Text: d) Yêu cầu tổ chức bảo vệ quyền lợi người tiêu dùng trợ giúp bảo
vệ quyền và lợi ích hợp pháp  của mình;   đ) Các quyền khác theo quy
định của pháp luật.   2. Người tiêu dùng có các nghĩa vụ sau đây:   a)
Thông tin cho cơ quan nhà nước có thẩm quyền khi phát hiện hoạt động
đo lường của tổ chức,  cá nhân xâm phạm đến quyền và lợi ích hợp pháp
của...
Score:  0.577
"
Câu trả lời:,"- ""Nghệ nhân nhân dân"": đạt tiêu chuẩn trung thành với Tổ quốc Việt Nam xã hội chủ nghĩa, có phẩm chất đạo đức tốt và tài năng đặc biệt xuất sắc, có công lớn trong bảo vệ và phát huy giá trị di sản văn hoá phi vật thể, được đồng nghiệp và quần chúng mến mộ.","Node ID: node_9174
Text: 2. Danh hiệu “Nghệ n hân nhân dân” được xét tặng cho cá nhân đạt
các tiêu chuẩn sau:   a) Trung thành với Tổ quốc Việt Nam xã hội chủ
nghĩa;   b) Có phẩm chất đạo đức tốt, có tài năng đặc biệt xuất sắc;
c) Có công lớn trong việc bảo vệ và phát huy giá trị di sản văn hoá
phi vật th ể;  d) Được đồng nghiệp và quần chúng mến mộ, kính trọng;
tiêu ...
Score:  0.605
"
"Câu hỏi: Theo Luật này, Bộ Tài chính có nhiệm vụ là gì?",Câu trả lời: Bộ Tài chính là cơ quan đầu mối giúp Chính phủ thống nhất quản lý nhà nước về tài sản công.,"Node ID: node_6397
Text: e) Mua sắm, thuê, phê duyệt phương án xử lý tài sản phục vụ hoạt
động của dự án sử dụng vốn  nhà nước.   5. Tổ chức thực hiện việc bảo
vệ, điều tra, khảo sát, lập kế hoạch khai thác và xử lý đối với tài
sản công chưa giao cho cơ quan, tổ chức, đơn vị hoặc đối tượng khác
quản lý theo quy định của  Luật này và pháp luật có liên quan.   6.
Chịu tr...
Score:  0.567
"
"Câu hỏi: Theo định nghĩa trong Luật, một khu phi thuế quan là gì?","Câu trả lời: Một khu phi thuế quan là một khu vực kinh tế trong lãnh thổ Việt Nam, được thành lập theo quy định của pháp luật, có ranh giới địa lý xác định, ngăn cách với khu vực bên ngoài bằng hàng rào cứng. Khu phi thuế quan đảm bảo điều kiện cho hoạt động kiểm tra, giám sát, kiểm soát hải quan của cơ quan hải quan và các cơ quan liên quan đối với hàng hóa xuất khẩu, nhập khẩu và phương tiện, hành khách xuất cảnh, nhập cảnh; quan hệ mua bán, trao đổi hàng hóa giữa khu phi thuế quan với bên ngoài là quan hệ xuất khẩu, nhập khẩu.","Node ID: node_10970
Text: a) Đại lý làm thủ tục hải quan trong trường hợp được người nộp
thuế ủy quyền nộp thuế xuất  khẩu, thuế nhập khẩu;   b) Doanh nghiệp
cung cấp dịch vụ bưu chính, dịch vụ chuyể n phát nhanh quốc tế trong
trường  hợp nộp thuế thay cho người nộp thuế;   c) Tổ chức tín dụng
hoặc tổ chức khác hoạt động theo quy định của Luật các tổ chức tín
dụng  trong...
Score:  0.604
"
Câu hỏi: Thế nào là mốc đo đạc?,"Câu trả lời: Mốc đo đạc là mốc được xây dựng cố định trên mặt đất theo quy chuẩn, được sử dụng để thể hiện vị trí các điểm đo đạc. Nó bao gồm hai loại: mốc đo đạc quốc gia và mốc đo đạc cơ sở chuyên ngành.","Node ID: node_12374
Text: 4. Hoạt động đo đạc v à bản đồ là việc đo đạc các đối tượng
địa lý; xây dựng, vận hành công  trình hạ tầng đo đạc , cơ sở dữ liệu
đ ịa lý; thành lập bản đồ , sản xuất sản phẩm đo đạc và bản đồ  khác.
Hoạt động đo đạc và bản đồ bao gồm hoạt động đo đạc và bản đồ cơ bản
và hoạt động đo  đạc và bản đồ chuyên ngành.   5. Mốc đo đạc  là mốc
được x...
Score:  0.588
"
"Câu hỏi: Về việc thay đổi Kiểm sát viên hoặc Kiểm tra viên, theo luật hiện hành, thì việc này được quyết định bởi ai?","Câu trả lời: Theo Điều 62, việc thay đổi Kiểm sát viên được quyết định bởi Viện trưởng Viện kiểm sát cùng cấp; nếu Kiểm sát viên bị thay đổi là Viện trưởng Viện kiểm sát thì do Viện trưởng Viện kiểm sát cấp trên trực tiếp quyết định.","Node ID: node_883
Text: 8. Kiểm sát hoạt động tố tụng của người tham gia tố tụng; yêu
cầu, kiến nghị cơ quan, tổ chức có  thẩm quyền xử lý nghiêm minh người
tham gia tố tụn g vi phạm pháp luật.   9. Thực hiện nhiệm vụ, quyền
hạn tố tụng dân sự khác thuộc thẩm quyền của Viện kiểm sát theo  quy
định của Bộ luật này.   Điều 59. Nhiệm vụ, quyền hạn của Kiểm tra viên
Khi ...
Score:  0.600
"
"Câu hỏi: ""Kim Ngân"", là tên gì?","Câu trả lời: Kim Ngân là tên của một người, thông thường được sử dụng để gọi một cô gái hoặc phụ nữ.","Node ID: node_8263
Text: Nguyễn Thị  Kim Ngân
Score:  0.609
"
"Tôn trọng quyền tự do, danh dự, nhân phẩm, bí mật đời tư của công dân và quyền và lợi ích hợp pháp khác của cá nhân và tổ chức.","2. Tuân thủ đúng quy trình, quy tắc về sử dụng phương tiện, thiết bị kỹ thuật nghiệp vụ.","Node ID: node_8635
Text: 32. Sửa đổ i, bổ sung Điều 64 như sau:   “Điều 64. Phát hiện vi
phạm hành chính bằng phương tiện, thiết bị kỹ thuật nghiệp vụ   1. Cơ
quan, người có thẩm quyền xử phạt vi phạm hành chính, cá nhân, tổ chức
được giao quản  lý phương tiện, thiết bị kỹ thuật nghiệp vụ được sử
dụng phương tiện, thiết bị kỹ thuật nghiệp vụ  để phát hiện vi phạm
hành ...
Score:  0.611
"
"Kết quả thu thập được bằng phương tiện, thiết bị kỹ thuật nghiệp vụ phải được ghi nhận bằng văn bản và chỉ được sử dụng trong xử phạt vi phạm hành chính.","4. Phương tiện, thiết bị kỹ thuật nghiệp vụ phải bảo đảm đúng tiêu chuẩn, quy chuẩn kỹ thuật và đã được kiểm định, hiệu chuẩn, thử nghiệm theo quy định của pháp luật.","Node ID: node_8635
Text: 32. Sửa đổ i, bổ sung Điều 64 như sau:   “Điều 64. Phát hiện vi
phạm hành chính bằng phương tiện, thiết bị kỹ thuật nghiệp vụ   1. Cơ
quan, người có thẩm quyền xử phạt vi phạm hành chính, cá nhân, tổ chức
được giao quản  lý phương tiện, thiết bị kỹ thuật nghiệp vụ được sử
dụng phương tiện, thiết bị kỹ thuật nghiệp vụ  để phát hiện vi phạm
hành ...
Score:  0.611
"
"Câu hỏi: Theo quy định của Luật dân sự, sau bao lâu sau khi nộp đủ giấy tờ đăng ký chấm dứt giám hộ, công chức tư pháp sẽ ghi việc chấm dứt giám hộ vào Sổ hộ tịch?",Câu trả lời: Trong vòng 2 ngày làm việc sau khi nhận đủ giấy tờ.,"Node ID: node_4521
Text: 2. Trình tự đăng ký giám hộ đương nhiên được thực hiện theo quy
định tại khoản 2 Điều 20 của  Luật này.   Điều 22. Đăng ký chấm dứt
giám hộ   1. Người yêu cầu đăng ký chấm dứt giám hộ nộp tờ khai đăng
ký chấm dứt giám hộ theo mẫu  quy định và giấy tờ làm căn cứ chấm dứt
giám hộ theo quy định của Bộ luật dân sự cho cơ quan  đăng ký hộ tịch.
2. ...
Score:  0.575
"
"Câu hỏi: Theo pháp luật về Thủ đô Hà Nội, thì ai có trách nhiệm giám sát việc thi hành Luật Thủ đô?",Câu trả lời: Hội đồng nhân dân thành phố Hà Nội.,"Node ID: node_7480
Text: Điều 25. Trách nhiệm của cơ quan, tổ chức và người dân Thủ đô
1. Hội đồng nhân dân,  Ủy ban nhân dân, Chủ tịch Ủy ban nhân dân các
cấp chính quyền của  thành phố Hà Nội trong phạm vi nhiệm vụ, quyền
hạn của mình thực hiện các quy định của pháp  luật về Thủ đô và chịu
trách nhiệm về những vi phạm, yếu kém xảy ra trong công tác xây dựng,
phát t...
Score:  0.599
"
"A. Người gốc Việt Nam định cư ở nước ngoài có quyền mua, thuê mua nhà ở gắn liền với quyền sử dụng đất ở tại Việt Nam.",B. Người gốc Việt Nam định cư ở nước ngoài có quyền nhận thừa kế quyền sử dụng đất tại Việt Nam.,"Node ID: node_12560
Text: một bên hoặc các bên tham gia giao dịch là tổ chức hoạt động
kinh doanh bất động sản được  công chứng hoặc chứng thực theo yêu cầu
của các bên;   c) Văn bản về thừa kế quyền sử dụng đất, quyền sử dụng
đất và tài sản gắn liền với đất được  công chứng hoặc chứng thực theo
quy định của pháp luật về dân sự;   d) Việc công chứng, chứng thực
thực hiện...
Score:  0.591
"
Câu hỏi:,"- Làm thế nào để đảm bảo độc lập và chuyên nghiệp trong quá trình kiểm toán, theo các quy định về chuẩn mực đạo đức nghề nghiệp của kế toán và kiểm toán?","Node ID: node_9937
Text: c) Thành viên tham gia cuộc kiểm toán, người quản lý, điều hành
của  doanh nghiệp kiểm toán là  thành viên, cổ đông sáng lập hoặc mua
cổ phần , góp vốn vào đơn vị được kiểm toán hoặc có quan hệ  kinh tế,
tài chính khác với đơn vị được kiểm toán theo quy định của chuẩn mực
đạo đức nghề nghiệp  kế toán, kiểm toán;   d) Người có tr ách nhiệm
quản l...
Score:  0.628
"
"Câu hỏi: Theo điều 76, khoản 11 của Luật này, ai được phép thuê nhà ở trong thời gian học tập?","Câu trả lời: Đối tượng được thuê nhà ở trong thời gian học tập theo điều 76, khoản 11 của Luật này là đối tượng quy định tại khoản 11 Điều 76 của Luật này.","Node ID: node_5467
Text: Đối với đối tượ ng quy định tại khoản 11 Điều 76 của Luật này
thì được thuê nhà ở trong thời  gian học tập;   c) Đối tượng được
thuê, thuê mua, mua nhà ở phục vụ tái định cư phải thuộc trường hợp bị
thu  hồi đất, giải tỏa nhà ở theo quyết định của cơ quan nhà nước có
thẩm quy ền và chưa được thuê,  thuê mua, mua nhà ở xã hội;   d) Đối
tượng được...
Score:  0.598
"
"Câu hỏi: Theo Luật, thời hạn thẩm định báo cáo đánh giá tác động môi trường cho dự án đầu tư nhóm I là bao nhiêu ngày?",Câu trả lời: Thời hạn thẩm định báo cáo đánh giá tác động môi trường cho dự án đầu tư nhóm I là 45 ngày.,"Node ID: node_2039
Text: 6. Thời hạn thẩm định báo cáo đánh giá tác động môi trường được
tính từ ngày nhận được đầy  đủ hồ sơ hợp lệ và đ ược quy định như sau:
a) Không quá 45 ngày đối với dự án đầu tư nhóm I quy định tại khoản 3
Điều 28 của Luật  này;  b) Không quá 30 ngày đối với dự án đầu tư nhóm
II quy định tại các điểm c, d, đ và e khoản  4 Điều 28 của Luật này
;...
Score:  0.570
"
"Câu hỏi: Theo luật, thủ trưởng cơ quan công an có nhiệm vụ gì về việc xử lý nhiều người khiếu nại, tố cáo, kiến nghị, phản ánh về một nội dung?","Câu trả lời: Theo điều 2, thủ trưởng cơ quan công an có trách nhiệm thực hiện hoặc phối hợp với các đơn vị liên quan để xử lý các biện pháp bảo đảm trật tự công cộng tại nơi có nhiều người gửi khiếu nại, tố cáo, kiến nghị, phản ánh.","Node ID: node_11278
Text: 2. Thủ trưởng cơ quan công an trong phạm vi nhiệm vụ, quyền hạn
của mình có  trách nhiệm thực  hiện hoặc phối hợp với Ban tiếp công
dân, cơ quan, tổ chức, đơn vị có liên quan áp dụng các  biện pháp bảo
đảm trật tự công cộng tại nơi có nhiều người cùng đến khiếu nại, tố
cáo, kiến nghị,  phản ánh về một nội dung; xử lý người có hành vi  vi
phạm th...
Score:  0.606
"
